npi,organization_name,has_existing_fraud_case,entity_type,role,name,url,component,topics,entity_match_count
1134422363,1ST PRIORITY PHYSICAL THERAPY LLC,true,Organization,Defendant,Owner of Detroit-Area Health Care Clinics Pleads Guilty to Drug Diversion Scheme,https://www.justice.gov/opa/pr/owner-detroit-area-health-care-clinics-pleads-guilty-drug-diversion-scheme-0,Criminal Division,"[""Opioids"",""Prescription Drugs"",""Health Care Fraud""]",1
1649420795,21ST CENTURY ONCOLOGY LLC,true,Defendant,Organization,"Fort Myers Urologist Agrees To Pay $250,000 For Ordering Unnecessary Medical Tests",https://www.justice.gov/usao-mdfl/pr/fort-myers-urologist-agrees-pay-250000-ordering-unnecessary-medical-tests,"USAO - Florida, Middle","[""Health Care Fraud"",""StopFraud""]",53
1649420795,21ST CENTURY ONCOLOGY LLC,true,Defendant,Organization,21st Century Oncology To Pay $26 Million To Settle False Claims Act Allegations,https://www.justice.gov/usao-mdfl/pr/21st-century-oncology-pay-26-million-settle-false-claims-act-allegations,"USAO - Florida, Middle","[""Health Care Fraud"",""False Claims Act""]",53
1649420795,21ST CENTURY ONCOLOGY LLC,true,Defendant,Organization,21st Century Oncology to Pay $19.75 Million to Settle Alleged False Claims for Unnecessary Laboratory Tests ,https://www.justice.gov/opa/pr/21st-century-oncology-pay-1975-million-settle-alleged-false-claims-unnecessary-laboratory,Civil Division,"[""False Claims Act"",""Health Care Fraud""]",53
1649420795,21ST CENTURY ONCOLOGY LLC,true,Defendant,Organization,United States Settles False Claims Act Allegations Against 21st Century Oncology for $34.7 Million,https://www.justice.gov/opa/pr/united-states-settles-false-claims-act-allegations-against-21st-century-oncology-347-million,Civil Division,"[""False Claims Act"",""Health Care Fraud""]",53
1649420795,21ST CENTURY ONCOLOGY LLC,true,Organization,Defendant,United States Settles False Claims Act Allegations Against 21st Century Oncology For Nearly $34.7 Million,https://www.justice.gov/usao-mdfl/pr/united-states-settles-false-claims-act-allegations-against-21st-century-oncology-nearly,"USAO - Florida, Middle","[""Health Care Fraud"",""StopFraud""]",53
1649420795,21ST CENTURY ONCOLOGY LLC,true,Organization,Defendant,Fort Myers Urologist Agrees To Pay More Than $3.8 Million For Ordering Unnecessary Medical Tests,https://www.justice.gov/usao-mdfl/pr/fort-myers-urologist-agrees-pay-more-38-million-ordering-unnecessary-medical-tests,"USAO - Florida, Middle","[""Health Care Fraud"",""StopFraud""]",53
1649420795,21ST CENTURY ONCOLOGY LLC,true,Defendant,Organization,21st Century Oncology to Pay $26 Million to Settle False Claims Act Allegations,https://www.justice.gov/opa/pr/21st-century-oncology-pay-26-million-settle-false-claims-act-allegations,Civil Division,"[""Health Care Fraud"",""False Claims Act""]",53
1689217861,888 PHARMACY INC,false,Defendant,Organization,Two Pharmacy Owners Charged with $29M Health Care Fraud Scheme,https://www.justice.gov/opa/pr/two-pharmacy-owners-charged-29m-health-care-fraud-scheme,Criminal Division,"[""Financial Fraud"",""Health Care Fraud""]",2
1689217861,888 PHARMACY INC,false,Defendant,Organization,Two Individuals Arrested for Pharmacy Health Care Fraud Kickback Schemes,https://www.justice.gov/opa/pr/two-individuals-arrested-pharmacy-health-care-fraud-kickback-schemes,Criminal Division,"[""Prescription Drugs"",""Health Care Fraud""]",2
