Suplr_NPI,Suplr_Prvdr_Last_Name_Org,Suplr_Prvdr_First_Name,Suplr_Prvdr_MI,Suplr_Prvdr_Crdntls,Suplr_Prvdr_Gndr,Suplr_Prvdr_Ent_Cd,Suplr_Prvdr_St1,Suplr_Prvdr_St2,Suplr_Prvdr_City,Suplr_Prvdr_State_Abrvtn,Suplr_Prvdr_State_FIPS,Suplr_Prvdr_Zip5,Suplr_Prvdr_RUCA,Suplr_Prvdr_RUCA_Desc,Suplr_Prvdr_Cntry,Suplr_Prvdr_Spclty_Desc,Suplr_Prvdr_Spclty_Srce,Tot_Suplr_HCPCS_Cds,Tot_Suplr_Benes,Tot_Suplr_Clms,Tot_Suplr_Srvcs,Suplr_Sbmtd_Chrgs,Suplr_Mdcr_Alowd_Amt,Suplr_Mdcr_Pymt_Amt,Suplr_Mdcr_Stdzd_Pymt_Amt,DME_Sprsn_Ind,DME_Tot_Suplr_HCPCS_Cds,DME_Tot_Suplr_Benes,DME_Tot_Suplr_Clms,DME_Tot_Suplr_Srvcs,DME_Suplr_Sbmtd_Chrgs,DME_Suplr_Mdcr_Alowd_Amt,DME_Suplr_Mdcr_Pymt_Amt,DME_Suplr_Mdcr_Stdzd_Pymt_Amt,POS_Sprsn_Ind,POS_Tot_Suplr_HCPCS_Cds,POS_Tot_Suplr_Benes,POS_Tot_Suplr_Clms,POS_Tot_Suplr_Srvcs,POS_Suplr_Sbmtd_Chrgs,POS_Suplr_Mdcr_Alowd_Amt,POS_Suplr_Mdcr_Pymt_Amt,POS_Suplr_Mdcr_Stdzd_Pymt_Amt,Drug_Sprsn_Ind,Drug_Tot_Suplr_HCPCS_Cds,Drug_Tot_Suplr_Benes,Drug_Tot_Suplr_Clms,Drug_Tot_Suplr_Srvcs,Drug_Suplr_Sbmtd_Chrgs,Drug_Suplr_Mdcr_Alowd_Amt,Drug_Suplr_Mdcr_Pymt_Amt,Drug_Suplr_Mdcr_Stdzd_Pymt_Amt,Bene_Avg_Age,Bene_Age_LT_65_Cnt,Bene_Age_65_74_Cnt,Bene_Age_75_84_Cnt,Bene_Age_GT_84_Cnt,Bene_Feml_Cnt,Bene_Male_Cnt,Bene_Race_Wht_Cnt,Bene_Race_Black_Cnt,Bene_Race_Api_Cnt,Bene_Race_Hspnc_Cnt,Bene_Race_Natind_Cnt,Bene_Race_Othr_Cnt,Bene_Ndual_Cnt,Bene_Dual_Cnt,Bene_CC_BH_ADHD_OthCD_V1_Pct,Bene_CC_BH_Alcohol_Drug_V1_Pct,Bene_CC_BH_Tobacco_V1_Pct,Bene_CC_BH_Alz_NonAlzdem_V2_Pct,Bene_CC_BH_Anxiety_V1_Pct,Bene_CC_BH_Bipolar_V1_Pct,Bene_CC_BH_Mood_V2_Pct,Bene_CC_BH_Depress_V1_Pct,Bene_CC_BH_PD_V1_Pct,Bene_CC_BH_PTSD_V1_Pct,Bene_CC_BH_Schizo_OthPsy_V1_Pct,Bene_CC_PH_Asthma_V2_Pct,Bene_CC_PH_Afib_V2_Pct,Bene_CC_PH_Cancer6_V2_Pct,Bene_CC_PH_CKD_V2_Pct,Bene_CC_PH_COPD_V2_Pct,Bene_CC_PH_Diabetes_V2_Pct,Bene_CC_PH_HF_NonIHD_V2_Pct,Bene_CC_PH_Hyperlipidemia_V2_Pct,Bene_CC_PH_Hypertension_V2_Pct,Bene_CC_PH_IschemicHeart_V2_Pct,Bene_CC_PH_Osteoporosis_V2_Pct,Bene_CC_PH_Parkinson_V2_Pct,Bene_CC_PH_Arthritis_V2_Pct,Bene_CC_PH_Stroke_TIA_V2_Pct,Bene_Avg_Risk_Scre,year,organization_name,has_existing_fraud_case,entity_type,role,name,url,component,topics,entity_match_count,avg_charge_per_claim,avg_payment_per_claim,avg_services_per_claim,payment_to_charge_ratio,yoy_growth_tot_clms,yoy_growth_sbmtd_chrgs,yoy_growth_mdcr_pymt_amt,yoy_growth_tot_benes
1073935862,"All American Medical Supplies, Llc",,,,,O,7261 Sheridan St Ste 310,,Hollywood,FL,12,33024,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Other Medical Supply Company,Claim-Specialty,4,688.0,688,5496,324129.0,277676.04,216825.97,216819.63,,2.0,567.0,567.0,3399.0,169908.0,147858.72,115892.09,115886.99,,2.0,687.0,687.0,2097.0,154221.0,129817.32,100933.88,100932.64,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.009803922,159.0,229.0,222.0,78.0,403.0,285.0,315.0,314.0,14.0,29.0,,,350.0,338.0,,0.0537790698,0.0886627907,0.074127907,0.1438953488,0.0334302326,0.1787790698,0.1627906977,,,0.0465116279,0.1162790698,0.0944767442,0.0668604651,0.2514534884,0.1686046512,0.5901162791,0.1875,0.5247093023,0.5784883721,0.2398255814,0.0465116279,,0.3066860465,0.0843023256,2.3034808786,2018,"ALL AMERICAN MEDICAL SUPPLIES, LLC",True,,,,,,,,471.11773255813955,315.1540261627907,7.988372093023256,0.6689496157394124,,,,
1083631568,K Va T Food Stores Inc,,,,,O,416 Eastern Plaza Center,,Newport,TN,47,37821,4.0,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",US,Mass Immunizer Roster Biller,Claim-Specialty,11,40.0,161,2677,31001.22,5577.33,4198.33,4359.47,,6.0,40.0,158.0,314.0,21769.84,2720.62,1958.67,2119.81,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,,15.0,2363.0,9231.38,2856.71,2239.66,2239.66,70.071428571,,19.0,,,25.0,15.0,38.0,0.0,0.0,,0.0,,19.0,21.0,0.0,,0.275,0.0,,,0.425,0.425,0.0,,,,,,0.525,0.35,0.9,,0.875,0.975,0.325,,0.0,0.5,,1.5095019841,2018,K -VA -T FOOD STORES INC,True,Organization,Defendant,Food City Agrees to Pay over $8M to Settle False Claims Act Allegations Related to Opioid Dispensing ,https://www.justice.gov/opa/pr/food-city-agrees-pay-over-8m-settle-false-claims-act-allegations-related-opioid-dispensing,Civil Division,"[""False Claims Act"",""Health Care Fraud""]",121.0,192.55416149068324,26.076583850931677,16.627329192546583,0.1354246703839397,,,,
1114453289,Comfort Medical Supply Llc,,,,,O,2495 Corporation Pkwy,,Burlington,NC,37,27215,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Other Medical Supply Company,Claim-Specialty,6,10769.0,20960,28882,21255883.85,19092802.48,14723374.54,14617438.88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,10769.0,20960.0,28882.0,21255883.85,19092802.48,14723374.54,14617438.88,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.668212596,4400.0,3888.0,1899.0,582.0,5489.0,5280.0,6893.0,2850.0,123.0,614.0,127.0,162.0,5178.0,5591.0,0.0220076144,0.170767945,0.2829417773,0.0478224533,0.3123781224,0.0912805274,0.3551861826,0.3105209397,0.0324078373,0.045500975,0.0508868047,0.1391958399,0.1080880305,0.0946234562,0.1943541647,0.2666914291,0.3668864333,0.1500603584,0.5970842232,0.7255084038,0.2368836475,0.0738230105,0.0131859968,0.5317113938,0.0729872783,1.4787824853,2018,COMFORT MEDICAL SUPPLY LLC,True,,,,,,,,1014.1165958969466,702.4510753816794,1.3779580152671755,0.6926728920754804,,,,
1124392147,Walgreen Co,,,,,O,1905 W El Camino Real,,Mountain View,CA,6,94040,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Centralized Flu,Claim-Specialty,14,77.0,254,3544,72745.06,16192.8,12020.95,12111.28,,7.0,76.0,228.0,764.0,53177.4,5921.0,4108.01,4198.34,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,3.0,,17.0,1713.0,14555.83,8938.81,7008.04,7008.04,75.9875,,31.0,32.0,,47.0,30.0,39.0,,21.0,,0.0,,53.0,24.0,,,,,0.2337662338,,0.3116883117,0.2987012987,,,,0.1818181818,,,0.4675324675,,0.974025974,0.1688311688,0.8311688312,0.8311688312,0.1948051948,,0.0,0.3116883117,,1.8160461675,2018,WALGREEN CO,True,Organization,Defendant,Walgreen Co. Pays $9.86M to Settle Allegations of Improper Medi Cal Billings ,https://www.justice.gov/usao-edca/pr/walgreen-co-pays-986m-settle-allegations-improper-medi-cal-billings,"USAO - California, Eastern","[""Health Care Fraud""]",11194.0,286.397874015748,47.32657480314961,13.952755905511811,0.16524764705672113,,,,
1215347067,Regional Home Care Inc,,,,,O,380 Elm Street,Unit 6,Biddeford,ME,23,4005,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Medical Supply Company with Respiratory Therapist,Claim-Specialty,18,84.0,203,1012,94190.02,24989.33,13021.3,11045.54,,18.0,84.0,203.0,1012.0,94190.02,24989.33,13021.3,11045.54,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.217391304,29.0,41.0,,,34.0,50.0,78.0,,0.0,,,,64.0,20.0,,,,,0.1785714286,,0.1785714286,0.1666666667,,,0.0,,,,,,0.2380952381,,0.3095238095,0.369047619,,,0.0,0.2142857143,,1.3498160651,2018,REGIONAL HOME CARE INC,True,,,,,,,,463.99024630541874,64.14433497536946,4.985221674876847,0.13824500727359437,,,,
1306890876,"Southern Respiratory, Inc",,,,,O,724 S Rossiter St,,Mount Dora,FL,12,32757,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Other Medical Supply Company,Claim-Specialty,30,2905.0,16314,56904,3998379.13,1571412.27,1182249.1,1118394.61,,29.0,2905.0,16313.0,56903.0,3998375.13,1571409.94,1182247.28,1118392.79,*,,,,,,,,,#,,,,,,,,,73.797264957,205.0,1381.0,1015.0,304.0,1345.0,1560.0,2492.0,148.0,,158.0,,83.0,2686.0,219.0,0.0089500861,0.0678141136,0.099827883,0.0767641997,0.2447504303,0.0426850258,0.278141136,0.2567986231,0.0185886403,0.0096385542,0.0151462995,0.1628227194,0.2784853701,0.1841652324,0.3215146299,0.3514629948,0.447848537,0.2550774527,0.8946643718,0.8839931153,0.4919104991,0.117383821,0.0296041308,0.5239242685,0.1242685026,1.6143976729,2018,"SOUTHERN RESPIRATORY, INC",True,Organization,Defendant,Thomson business owner convicted of Medicare fraud,https://www.justice.gov/usao-sdga/pr/thomson-business-owner-convicted-medicare-fraud,"USAO - Georgia, Southern","[""Health Care Fraud""]",3.0,245.08882738751993,72.46837685423563,3.4880470761309303,0.29568209055753053,,,,
1316423015,"Ortho-Med Solution, Inc",,,,,O,5143 Sw 8th St Ste B,,Coral Gables,FL,12,33134,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Medical Supply Company with Orthotist,Claim-Specialty,14,184.0,185,310,1188624.0,1049432.37,822127.75,825896.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,14.0,184.0,185.0,310.0,1188624.0,1049432.37,822127.75,825896.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.767567568,28.0,51.0,68.0,37.0,114.0,70.0,15.0,,,164.0,0.0,0.0,22.0,162.0,,0.1032608696,0.1684782609,0.2608695652,0.3641304348,0.0760869565,0.5434782609,0.5108695652,,,0.2717391304,0.2282608696,0.1086956522,0.1739130435,0.3097826087,0.5434782609,0.6902173913,0.3532608696,0.8260869565,0.9130434783,0.4076086957,0.2391304348,,0.7445652174,0.1141304348,2.296946464,2018,"ORTHO-MED SOLUTION, INC",True,Organization,Defendant,"Woman Pleads Guilty to Laundering More Than $700,000 ",https://www.justice.gov/opa/pr/woman-pleads-guilty-laundering-more-700000,Criminal Division,"[""Health Care Fraud""]",1.0,6424.994594594595,4443.933783783784,1.6756756756756757,0.6916634276272395,,,,
1326371634,"A To Z Pharmacy, Inc,",,,,,O,9407 5th Ave,,Brooklyn,NY,36,11209,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Pharmacy,Claim-Specialty,30,122.0,833,24210,249576.05,36068.12,27010.26,27308.5,,16.0,114.0,740.0,8541.0,179820.09,13394.91,9580.02,9845.25,,3.0,13.0,24.0,79.0,884.39,695.79,413.86,446.87,,7.0,21.0,85.0,8637.0,32949.57,8788.76,6723.0,6723.0,77.0,,33.0,55.0,,79.0,43.0,100.0,0.0,,,0.0,,,,0.0,,0.106557377,0.2786885246,0.368852459,,0.5409836066,0.5,,,0.0983606557,0.237704918,0.3606557377,0.1721311475,0.3770491803,0.3852459016,1.0983606557,0.6229508197,1.1721311475,1.1967213115,0.8524590164,0.3442622951,,0.7786885246,0.1885245902,2.6272125434,2018,"A TO Z PHARMACY, INC,",True,Defendant,Organization,Owner of Florida Pharmacy Sentenced to 15 Years in Prison for $100 Million Compounding Pharmacy Fraud Scheme ,https://www.justice.gov/opa/pr/owner-florida-pharmacy-sentenced-15-years-prison-100-million-compounding-pharmacy-fraud,Criminal Division,"[""Health Care Fraud""]",4.0,299.6111044417767,32.42528211284514,29.063625450180073,0.10822456722109353,,,,
1326572405,Central Dme Inc,,,,,O,1001 W Cypress Creek Rd Ste 107,,Fort Lauderdale,FL,12,33309,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Other Medical Supply Company,Claim-Specialty,16,3072.0,3151,8862,5769367.87,5506480.85,4280177.56,4227904.98,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,3072.0,3151.0,8862.0,5769367.87,5506480.85,4280177.56,4227904.98,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.778453225,411.0,918.0,1029.0,714.0,2044.0,1028.0,2130.0,720.0,37.0,133.0,19.0,33.0,2055.0,1017.0,0.0078125,0.083984375,0.1516927083,0.142578125,0.26171875,0.0400390625,0.2972005208,0.26953125,0.0231119792,0.0110677083,0.0325520833,0.1123046875,0.1845703125,0.1276041667,0.2805989583,0.2620442708,0.4449869792,0.212890625,0.6852213542,0.814453125,0.3046875,0.1458333333,0.0188802083,0.5504557292,0.1018880208,1.6250739847,2018,CENTRAL DME INC,True,,,,,,,,1830.964097112028,1358.3553030783876,2.8124404950809265,0.7418798136025255,,,,
1336187475,"San Bernardino Medical Orthopedic Group, Inc",,,,,O,1901 W Lugonia Ave,Suite 120,Redlands,CA,6,92374,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Orthopedic Surgery,Claim-Specialty,30,310.0,332,365,113910.0,45516.26,34698.56,32049.44,*,,,,,,,,,,29.0,304.0,322.0,355.0,112580.0,44985.06,34282.06,31632.94,#,,,,,,,,,68.526143791,90.0,131.0,67.0,22.0,222.0,88.0,184.0,29.0,11.0,76.0,,,150.0,160.0,,0.1225806452,0.1032258065,0.0451612903,0.2677419355,0.064516129,0.2677419355,0.2258064516,,,0.0516129032,0.1129032258,0.0774193548,0.0806451613,0.2258064516,0.1806451613,0.3483870968,0.1387096774,0.6161290323,0.7064516129,0.164516129,0.1903225806,,0.6967741935,0.0516129032,1.3485209304,2018,"SAN BERNARDINO MEDICAL ORTHOPAEDIC GROUP, INC.",True,Organization,Defendant,Orthopedic Clinics to Pay $2.39 Million to Settle Allegations of Billing Federal Health Care Programs for Reimported Products,https://www.justice.gov/usao-edca/pr/orthopedic-clinics-pay-239-million-settle-allegations-billing-federal-health-care,"USAO - California, Eastern","[""Health Care Fraud""]",20.0,343.1024096385542,104.51373493975903,1.0993975903614457,0.3046138179264331,,,,
